LogP,MolWt,TPSA,NumHDonors,NumAcceptors,FractionCSP3,HeavyAtomCount,NHOHCount,NOCount,RingCount,MaxPartialCharge,MinAbsEStateIndex,FpDensityMorgan1,SlogP_VSA1,SlogP_VSA2,NumRadicalElectrons
-8.11642999999994,2180.317000000001,901.5700000000002,28,29,0.5408163265306123,155,31,57,6,0.3257062325732257,0.020043060632048748,0.3548387096774194,107.5864086995942,359.89482193035406,0
-3.105700000000015,1269.4329999999984,495.8899999999997,17,16,0.5084745762711864,91,20,32,6,0.3303713611319067,0.0045312639638130925,0.7252747252747253,70.58689405775799,187.4082614721368,0
4.86759999999998,1811.2530000000013,519.8899999999996,20,16,0.5104166666666666,131,20,35,8,0.24307488689094436,0.005679334397193481,0.2900763358778626,79.75182906009498,212.39337855092825,0
-4.132030000000018,1069.2379999999998,435.40999999999985,14,15,0.4782608695652174,74,18,26,4,0.24622360867827903,0.016296657237353962,0.7297297297297297,65.4689787406994,154.37783095256862,0
-0.5061300000000097,1431.0640000000005,495.66999999999985,17,16,0.42857142857142855,102,20,31,6,0.3116730521825315,0.0016947561774964814,0.5588235294117647,75.6856770755562,183.72614861915784,0
-5.621799999999954,1620.6930000000004,702.0200000000002,22,24,0.5277777777777778,115,25,43,4,0.32896996371275855,0.01859881887065673,0.5478260869565217,86.31925428356887,247.65226978282243,0
3.2690000000000046,1202.634999999999,278.79999999999995,5,12,0.7903225806451613,85,5,23,1,0.24564364922042153,0.02287103621443376,0.4588235294117647,21.267154416025324,226.7857074975414,0
1.167999999999988,1416.0889999999995,424.9799999999999,13,16,0.4583333333333333,101,15,28,6,0.2474812997129853,0.024037556470749566,0.6039603960396039,59.31843239038136,189.08732540419047,0
0.51742,247.14299999999997,116.95,3,5,0.25,16,3,7,1,0.46940522663537176,0.0824537037037032,1.5625,0.0,26.16348964442242,0
2.722220000000001,1355.3879999999992,477.85,9,21,0.6190476190476191,93,15,28,8,inf,0.011083148787875086,0.8172043010752689,44.612205069731914,131.34630527111048,0
-0.2819999999999996,445.4360000000003,211.56,8,9,0.3157894736842105,32,9,13,3,0.32572120059413157,0.02806730706856131,1.21875,32.56008878823952,63.19999660695209,0
-0.6359000000000004,155.157,92.0,3,3,0.3333333333333333,11,4,5,1,0.3203777319132172,0.2627314814814814,1.9090909090909092,5.733667477162185,27.085630553834932,0
-3.2568999999999964,398.4450000000002,185.46,4,11,0.6,27,6,11,3,0.16713852427661624,0.21083143508654367,1.4074074074074074,16.573862349165076,77.81661167766408,0
-0.3400000000000001,88.062,54.37,1,2,0.3333333333333333,6,1,3,0,0.3713429200675026,0.8240740740740742,1.5,0.0,16.859077629157497,0
0.641,165.19199999999998,63.32,2,2,0.2222222222222222,12,3,3,1,0.32031550163956013,0.38509259259259254,1.4166666666666667,5.733667477162185,17.117673511940517,0
0.7967999999999997,244.31599999999992,78.42999999999999,3,3,0.8,16,3,5,2,0.31493629272404566,0.06404076908541168,1.4375,10.633577208012662,40.19342049015551,0
